Date,Latitude,Longitude,Maximum Wind
18510625,28.0,94.8,80
18510625,28.0,95.4,80
18510625,28.0,96.0,80
18510625,28.1,96.5,80
18510625,28.2,96.8,80
18510626,28.2,97.0,70
18510626,28.3,97.6,60
18510626,28.4,98.3,60
18510626,28.6,98.9,50
18510627,29.0,99.4,50
18510627,29.5,99.8,40
18510627,30.0,100.,40
18510627,30.5,100.,40
18510628,31.0,100.,40
18510705,22.2,97.6,80
18510710,12.0,60.0,50
18510816,13.4,48.0,40
18510816,13.7,49.5,40
18510816,14.0,51.0,50
18510816,14.4,52.8,50
18510817,14.9,54.6,60
18510817,15.4,56.5,60
18510817,15.9,58.5,70
18510817,16.1,60.4,70
18510818,16.6,62.5,80
18510818,16.9,64.1,80
18510818,17.2,66.0,90
18510818,17.6,67.6,90
18510819,18.0,69.3,90
18510819,18.4,71.1,70
18510819,18.9,72.6,60
18510819,19.4,74.3,60
18510820,19.9,75.9,70
18510820,20.5,77.6,70
18510820,21.2,79.0,70
18510820,21.9,80.4,70
18510821,22.6,81.4,60
18510821,23.2,82.5,60
18510821,23.9,83.6,70
18510821,24.4,84.3,70
18510822,25.0,84.9,80
18510822,25.6,85.5,80
18510822,26.2,86.0,90
18510822,26.8,86.3,90
18510823,27.4,86.5,100
18510823,28.0,86.6,100
18510823,28.5,86.6,100
18510823,29.6,86.1,100
18510823,30.1,85.7,100
18510824,30.7,85.1,90
18510824,31.6,84.1,70
18510824,32.5,83.0,60
18510824,33.4,81.4,50
18510825,34.0,80.0,40
18510825,34.8,78.6,40
18510825,35.8,77.0,40
18510825,36.8,75.1,40
18510826,37.8,73.6,40
18510826,38.9,71.8,40
18510826,40.0,70.0,40
18510826,41.3,66.8,40
18510827,42.8,63.3,40
18510827,44.5,60.2,40
18510827,46.4,57.2,40
18510827,48.5,54.2,40
18510913,32.5,73.5,50
18510913,32.5,73.5,50
18510913,32.5,73.5,50
18510913,32.5,73.5,50
18510914,32.5,73.5,50
18510914,32.5,73.5,50
18510914,32.5,73.5,50
18510914,32.5,73.5,50
18510915,32.5,73.5,50
18510915,32.5,73.5,50
18510915,32.5,73.5,50
18510915,32.5,73.5,50
18510916,32.5,73.5,50
18510916,32.5,73.5,50
18510916,32.5,73.5,50
18510916,32.5,73.5,50
18511016,28.7,78.0,40
18511016,29.1,77.8,40
18511016,29.5,77.5,50
18511016,30.1,77.1,50
18511017,30.7,76.6,60
18511017,31.2,76.3,60
18511017,31.6,75.9,60
18511017,32.0,75.5,60
18511018,32.7,74.9,60
18511018,33.3,74.3,60
18511018,34.0,73.8,60
18511018,35.3,73.0,60
18511019,37.0,72.6,50
18511019,38.5,72.1,50
18511019,40.2,71.8,50
